onnx
Model Name, Inference Time (ms)
npusubgraph0.onnx, 0.56
cpusubgraph1.onnx, 0.29
npusubgraph1.onnx, 6.99
cpusubgraph0.onnx, 1.08
npusubgraph2.onnx, 10.63
cpusubgraph2.onnx, 0.89
npusubgraph3.onnx, 50.56
npusubgraph4.onnx, 5.48
cpusubgraph3.onnx, 0.14
npusubgraph5.onnx, 4.01
cpusubgraph4.onnx, 0.46
npusubgraph6.onnx, 6.68
cpusubgraph5.onnx, 0.31
npusubgraph7.onnx, 30.74
cpusubgraph6.onnx, 0.22
npusubgraph8.onnx, 9.12
cpusubgraph7.onnx, 0.11
npusubgraph9.onnx, 3.38
cpusubgraph8.onnx, 0.54
npusubgraph10.onnx, 9.87
cpusubgraph9.onnx, 0.14
npusubgraph11.onnx, 20.82
cpusubgraph10.onnx, 0.31
npusubgraph12.onnx, 14.93
cpusubgraph11.onnx, 0.58
npusubgraph13.onnx, 11.13
cpusubgraph12.onnx, 0.16
npusubgraph14.onnx, 1.36
cpusubgraph13.onnx, 30.32
npusubgraph15.onnx, 1.18
cpusubgraph14.onnx, 0.36
npusubgraph16.onnx, 10.51
cpusubgraph15.onnx, 0.92
npusubgraph17.onnx, 9.13
cpusubgraph16.onnx, 0.20
npusubgraph18.onnx, 34.45
cpusubgraph17.onnx, 0.33
npusubgraph19.onnx, 25.04
cpusubgraph18.onnx, 0.71
npusubgraph20.onnx, 19.14
cpusubgraph19.onnx, 0.50
npusubgraph21.onnx, 12.80
cpusubgraph20.onnx, 0.29
npusubgraph22.onnx, 20.31
cpusubgraph21.onnx, 0.63
npusubgraph23.onnx, 18.94
cpusubgraph22.onnx, 0.50
npusubgraph24.onnx, 11.84
cpusubgraph23.onnx, 0.25
npusubgraph25.onnx, 20.07
cpusubgraph24.onnx, 0.45
npusubgraph26.onnx, 24.33
cpusubgraph25.onnx, 1.21
npusubgraph27.onnx, 25.25
cpusubgraph26.onnx, 0.74
npusubgraph28.onnx, 16.97
cpusubgraph27.onnx, 0.47
npusubgraph29.onnx, 29.21
cpusubgraph28.onnx, 1.09
npusubgraph30.onnx, 20.98
cpusubgraph29.onnx, 0.62
npusubgraph31.onnx, 9.47
cpusubgraph30.onnx, 0.47
npusubgraph32.onnx, 27.97
cpusubgraph31.onnx, 1.12
Total, 732.97
