tflite
Model Name, Inference Time (ms)
npusubgraph0.tflite, 2.63
cpusubgraph1.tflite, 2.63
npusubgraph1.tflite, 27.65
cpusubgraph0.tflite, 3.59
npusubgraph2.tflite, 25.77
cpusubgraph2.tflite, 5.70
npusubgraph3.tflite, 3.89
cpusubgraph3.tflite, 144.18
npusubgraph4.tflite, 5.64
cpusubgraph4.tflite, 1.96
npusubgraph5.tflite, 7.83
cpusubgraph5.tflite, 0.76
npusubgraph6.tflite, 11.68
cpusubgraph6.tflite, 1.69
npusubgraph7.tflite, 30.14
cpusubgraph7.tflite, 0.78
npusubgraph8.tflite, 4.18
cpusubgraph8.tflite, 65.90
npusubgraph9.tflite, 3.02
cpusubgraph9.tflite, 1.67
npusubgraph10.tflite, 7.64
cpusubgraph10.tflite, 0.93
npusubgraph11.tflite, 22.19
cpusubgraph11.tflite, 1.30
npusubgraph12.tflite, 42.15
cpusubgraph12.tflite, 0.98
npusubgraph13.tflite, 5.27
cpusubgraph13.tflite, 77.53
npusubgraph14.tflite, 2.93
cpusubgraph14.tflite, 1.29
npusubgraph15.tflite, 75.39
cpusubgraph15.tflite, 1.83
npusubgraph16.tflite, 47.26
cpusubgraph16.tflite, 0.78
npusubgraph17.tflite, 3.91
cpusubgraph17.tflite, 72.43
npusubgraph18.tflite, 3.87
cpusubgraph18.tflite, 1.72
npusubgraph19.tflite, 51.43
cpusubgraph19.tflite, 2.05
npusubgraph20.tflite, 40.23
cpusubgraph20.tflite, 1.04
npusubgraph21.tflite, 3.85
cpusubgraph21.tflite, 73.74
npusubgraph22.tflite, 2.92
cpusubgraph22.tflite, 1.82
npusubgraph23.tflite, 130.49
cpusubgraph23.tflite, 2.42
npusubgraph24.tflite, 97.29
cpusubgraph24.tflite, 2.21
npusubgraph25.tflite, 36.23
cpusubgraph25.tflite, 1.50
npusubgraph26.tflite, 4.89
cpusubgraph26.tflite, 70.01
npusubgraph27.tflite, 3.03
cpusubgraph27.tflite, 2.30
npusubgraph28.tflite, 44.89
cpusubgraph28.tflite, 1.53
npusubgraph29.tflite, 35.34
cpusubgraph29.tflite, 1.22
npusubgraph30.tflite, 3.43
cpusubgraph30.tflite, 69.19
npusubgraph31.tflite, 3.17
cpusubgraph31.tflite, 2.01
npusubgraph32.tflite, 86.76
cpusubgraph32.tflite, 4.63
npusubgraph33.tflite, 67.62
cpusubgraph33.tflite, 4.30
npusubgraph34.tflite, 31.59
cpusubgraph34.tflite, 1.87
npusubgraph35.tflite, 5.48
cpusubgraph35.tflite, 136.41
npusubgraph36.tflite, 3.45
cpusubgraph36.tflite, 4.39
npusubgraph37.tflite, 44.52
cpusubgraph37.tflite, 4.76
npusubgraph38.tflite, 32.60
cpusubgraph38.tflite, 1.84
npusubgraph39.tflite, 4.81
cpusubgraph39.tflite, 135.82
npusubgraph40.tflite, 3.46
cpusubgraph40.tflite, 4.08
Total, 2647.65
